feature,context_id,context_change,context_changed_level_v51_marginal_exposure_share,quantile,value,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.1,32.0,0.8930488167849453,1.0147815037736352,0.12778735564954588
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.2,36.0,0.920396897845789,0.996797470557092,0.0797426227526701
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.3,39.0,0.9414561707365412,0.9963411752803262,0.05666194996784118
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.4,43.0,0.9702866435938099,0.9973605294083023,0.027520782143335212
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.5,47.0,1.0,1.0,0.0
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.7,55.0,1.0621843385631617,0.9980292940207638,-0.06230013493374737
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.8,59.0,1.094711903514383,0.9251346312852332,-0.16830723156307156
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.9,64.0,1.1367756805682248,0.9162758235812402,-0.21563374687482595
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.95,68.0,1.1715874768282515,0.9171875829958342,-0.24480291300221182
vehicle_age,BASE,{},1.0,0.05,7.0,1.30915813004366,1.3384124928875694,0.02209992303848774
vehicle_age,BASE,{},1.0,0.1,10.0,1.2446753451532508,1.053099929598991,-0.16713660041267692
vehicle_age,BASE,{},1.0,0.2,14.0,1.163611648713539,1.0321499338828721,-0.11988471723805386
vehicle_age,BASE,{},1.0,0.3,17.0,1.1062977781290382,1.0099567041481807,-0.09111164292223448
vehicle_age,BASE,{},1.0,0.4,20.0,1.0518069110483343,1.0023518717066353,-0.048160442453238375
vehicle_age,BASE,{},1.0,0.5,23.0,1.0,1.0,0.0
vehicle_age,BASE,{},1.0,0.6,27.0,0.9348716139068931,1.0067882394394643,0.07411137353297918
vehicle_age,BASE,{},1.0,0.7,32.0,0.8593932529857155,1.0014104661156185,0.1529381308574721
vehicle_age,BASE,{},1.0,0.8,36.0,0.8034223573994507,0.9570829187472841,0.17500948214230452
vehicle_age,BASE,{},1.0,0.9,41.0,0.7385567632773699,0.915249247106144,0.21449846743749118
vehicle_age,BASE,{},1.0,0.95,44.0,0.7021790363986598,0.9177218082534805,0.26770589446186105
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.05,7.0,1.3091581300436597,1.3384126108025591,0.02210001113911877
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.1,10.0,1.2446753451532508,1.0530999279755053,-0.1671366019543022
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.2,14.0,1.1636116487135388,1.0321499642665122,-0.11988468780081911
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.3,17.0,1.1062977781290382,1.0099567330358272,-0.09111161431937857
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.4,20.0,1.0518069110483341,1.0023518941884562,-0.048160420024167844
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.5,23.0,1.0,1.0,0.0
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.6,27.0,0.934871613906893,1.0067882824823675,0.07411141628566618
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.7,32.0,0.8593932529857155,1.001410523242099,0.15293818790348954
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.8,36.0,0.8034223573994508,0.9570829487322887,0.17500951347188257
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.9,41.0,0.73855676327737,0.9152492963935137,0.21449852128879826
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.95,44.0,0.7021790363986598,0.9177218237703133,0.2677059113698528
