feature,level,development_exposure,development_share,current_exposure,current_share,share_change,absolute_share_change,development_seen
vehicle_brand,GRECAV,0.879452054794521,2.098305138147901e-05,1.0,7.93560325357994e-06,-1.3047448127899069e-05,1.3047448127899069e-05,True
vehicle_brand,HONDA,570.4109589041096,0.013609567905370492,1775.2082191780821,0.01408734811989144,0.00047778021452094845,0.00047778021452094845,True
vehicle_brand,HUMMER,3.221917808219178,7.687248730410998e-05,4.136986301369862,3.282948195316632e-05,-4.404300535094366e-05,4.404300535094366e-05,True
vehicle_brand,HURTAN,1.079452054794521,2.5754897957329374e-05,0.0,0.0,-2.5754897957329374e-05,2.5754897957329374e-05,True
vehicle_brand,HYUNDAI,1072.8109589041096,0.025596446503906606,3346.7287671232875,0.026558311693233142,0.0009618651893265363,0.0009618651893265363,True
vehicle_brand,INFINITI,2.213698630136986,5.2817151140919095e-05,17.276712328767122,0.00013710113456732903,8.428398342640993e-05,8.428398342640993e-05,True
vehicle_brand,ISUZU,5.901369863013698,0.00014080215786824223,12.80821917808219,0.00010164094578215402,-3.916121208608821e-05,3.916121208608821e-05,True
vehicle_brand,IVECO,17.512328767123286,0.00041783073031281543,39.00547945205479,0.0003095320096471715,-0.00010829872066564391,0.00010829872066564391,True
vehicle_brand,JAGUAR,84.77260273972603,0.002022609270547424,210.37534246575342,0.001669455252144227,-0.0003531540184031972,0.0003531540184031972,True
vehicle_brand,JEEP,136.24383561643836,0.0032506734023351066,408.63013698630135,0.0032427266445793097,-7.946757755796906e-06,7.946757755796906e-06,True
vehicle_brand,KIA,680.758904109589,0.016242385227774943,2249.2958904109587,0.017849519786209193,0.0016071345584342499,0.0016071345584342499,True
vehicle_brand,LADA,12.087671232876712,0.00028840256291303844,35.13698630136986,0.00027883318281414444,-9.569380098893999e-06,9.569380098893999e-06,True
vehicle_brand,LANCIA,89.0027397260274,0.0021235370940147253,237.60821917808218,0.0018855645571869246,-0.00023797253682780067,0.00023797253682780067,True
vehicle_brand,LAND ROVER,214.75890410958903,0.005123982706043596,724.4712328767123,0.0057491162727415085,0.0006251335666979125,0.0006251335666979125,True
vehicle_brand,LEXUS,88.92876712328767,0.0021217721644592735,323.4931506849315,0.0025671132990861684,0.00044534113462689484,0.00044534113462689484,True
vehicle_brand,LIGIER,0.0,0.0,1.0,7.93560325357994e-06,7.93560325357994e-06,7.93560325357994e-06,False
vehicle_brand,MAHINDRA,0.649315068493151,1.5492159431185437e-05,1.5589041095890415,1.2370844524073937e-05,-3.1213149071115e-06,3.1213149071115e-06,True
vehicle_brand,MASERATI,1.8849315068493149,4.4973019783356856e-05,2.0,1.587120650715988e-05,-2.9101813276196975e-05,2.9101813276196975e-05,True
vehicle_brand,MAZDA,386.32602739726025,0.009217442654987452,1281.7479452054795,0.010171443164242006,0.0009540005092545534,0.0009540005092545534,True
vehicle_brand,MERCEDES,1902.0958904109589,0.04538254880798292,5589.046575342466,0.044352456187697495,-0.0010300926202854235,0.0010300926202854235,True
vehicle_brand,MG,0.0,0.0,1.093150684931507,8.674810131995607e-06,8.674810131995607e-06,8.674810131995607e-06,False
vehicle_brand,MICROCAR,1.164383561643836,2.778129855803295e-05,1.0986301369863014,8.718292889549469e-06,-1.906300566848348e-05,1.906300566848348e-05,True
vehicle_brand,MINI,216.33424657534246,0.005161569168798581,676.0465753424658,0.005364837402859248,0.00020326823406066619,0.00020326823406066619,True
vehicle_brand,MITSUBISHI,393.0219178082192,0.009377201463636471,1211.8986301369862,0.00961714671232414,0.0002399452486876695,0.0002399452486876695,True
vehicle_brand,NISSAN,1503.6794520547944,0.035876638222321115,4864.471232876712,0.03860251374256246,0.0027258755202413457,0.0027258755202413457,True
vehicle_brand,OPEL,3348.8191780821917,0.07990025664036769,9823.654794520548,0.07795662694944344,-0.0019436296909242506,0.0019436296909242506,True
vehicle_brand,PEGASO,0.0,0.0,0.39178082191780805,3.1090171651011807e-06,3.1090171651011807e-06,3.1090171651011807e-06,False
vehicle_brand,PEUGEOT,3429.4,0.0818228532361062,10563.276712328767,0.08382597304682138,0.002003119810715173,0.002003119810715173,True
vehicle_brand,PIAGGIO,0.884931506849315,2.1113786904105034e-05,0.991780821917808,7.870379117249144e-06,-1.324340778685589e-05,1.324340778685589e-05,True
vehicle_brand,PORSCHE,41.0,0.0009782285480493247,111.96164383561644,0.0008884831850980763,-8.974536295124839e-05,8.974536295124839e-05,True
vehicle_brand,RENAULT,4164.1671232876715,0.09935383314264469,12009.775342465753,0.09530481228243537,-0.004049020860209321,0.004049020860209321,True
vehicle_brand,ROVER,209.14794520547946,0.004990109530874534,466.07397260273973,0.0036985781333952294,-0.0012915313974793045,0.0012915313974793045,True
vehicle_brand,SAAB,117.82465753424657,0.0028112059430276818,285.8383561643835,0.0022682997891760237,-0.0005429061538516581,0.0005429061538516581,True
vehicle_brand,SANTANA,4.079452054794521,9.733259659508484e-05,21.353424657534248,0.0001694523061874029,7.211970959231807e-05,7.211970959231807e-05,True
vehicle_brand,SEAT,3282.205479452055,0.07831090489180297,9853.158904109589,0.07819075985749221,-0.00012014503431075074,0.00012014503431075074,True
vehicle_brand,SIMCA,1.0,2.3859232879251822e-05,1.0,7.93560325357994e-06,-1.592362962567188e-05,1.592362962567188e-05,True
vehicle_brand,SKODA,423.3013698630137,0.010099645961667953,1389.9917808219177,0.011030423298339786,0.0009307773366718335,0.0009307773366718335,True
vehicle_brand,SMART,76.26575342465753,0.0018196423716705012,251.8,0.001998184899251429,0.0001785425275809278,0.0001785425275809278,True
vehicle_brand,SSANGYONG,123.89041095890411,0.0029559301665747053,419.0712328767123,0.003325583039098195,0.0003696528725234899,0.0003696528725234899,True
vehicle_brand,SUBARU,40.48219178082192,0.0009658740411611642,141.06027397260274,0.0011193983690878642,0.00015352432792669994,0.00015352432792669994,True
vehicle_brand,SUZUKI,380.37808219178083,0.00907552924517689,1225.1643835616437,0.009722418468362042,0.0006468892231851521,0.0006468892231851521,True
vehicle_brand,TATA,31.887671232876716,0.0007608153739222246,84.84109589041095,0.0006732652765852328,-8.75500973369918e-05,8.75500973369918e-05,True
vehicle_brand,TOYOTA,1723.1287671232876,0.0411125305357326,5557.843835616438,0.044104843624807016,0.002992313089074418,0.002992313089074418,True
vehicle_brand,VOLKSWAGEN,3422.0465753424655,0.08164740616474205,10358.91506849315,0.08220424012109251,0.0005568339563504637,0.0005568339563504637,True
vehicle_brand,VOLVO,593.158904109589,0.014152316427552485,1719.5726027397259,0.013645845941068295,-0.0005064704864841899,0.0005064704864841899,True
municipality_type,C,12508.098630136987,0.29843363809308904,35599.61643835616,0.28250443203441716,-0.015929206058671874,0.015929206058671874,True
municipality_type,I,26357.29589041096,0.628864860716662,81802.25479452054,0.6491502392975727,0.020285378580910618,0.020285378580910618,True
municipality_type,IS,3047.1013698630136,0.07270150119024887,8612.493150684932,0.06834532866801031,-0.004356172522238563,0.004356172522238563,True
circulation_area,R,19272.076712328766,0.45981696634625785,57725.3205479452,0.458085241554219,-0.001731724792038869,0.001731724792038869,True
circulation_area,U,22640.419178082193,0.5401830336537422,68289.04383561644,0.5419147584457811,0.001731724792038869,0.001731724792038869,True
