fold_id,feature,point_type,point_key,value_or_level,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity,v51_full_fit_log_gap
2,driver_age,numeric,q0.60,51.0,1.0087573459779586,1.0016137459934,-0.007106777529237982,-0.0301637422792536
2,driver_age,numeric,q0.70,55.0,1.017591383064495,1.0016137459934,-0.01582600036294331,-0.0623002241025713
2,driver_age,numeric,q0.80,59.0,1.0265027828701803,0.9224069198904271,-0.10692647650707858,-0.1964409283337278
2,driver_age,numeric,q0.90,64.0,1.03775185663213,0.9097676127707912,-0.13162277970865696,-0.2394907189979483
2,driver_age,numeric,q0.95,68.0,1.0468398086799264,0.926565047979138,-0.12204694730983254,-0.2686599012173566
2,vehicle_age,numeric,q0.05,7.0,1.193963742110493,1.4614474024189301,0.20214866838815213,0.0220999230384877
2,vehicle_age,numeric,q0.10,10.0,1.1549290359049462,1.0487978621342877,-0.09639428623815552,-0.1671366004126769
2,vehicle_age,numeric,q0.20,14.0,1.1048606731460113,1.0035128425866007,-0.0962125524026463,-0.1198847172380538
2,vehicle_age,numeric,q0.30,17.0,1.0687390471257083,1.0053428901537862,-0.061150825359330696,-0.0911116429222344
2,vehicle_age,numeric,q0.40,20.0,1.0337983590264148,1.0053428901537862,-0.02791107890288661,-0.0481604424532383
2,vehicle_age,numeric,q0.50,23.0,1.0,1.0,0.0,0.0
2,vehicle_age,numeric,q0.60,27.0,0.9566481046000339,1.0029171616776913,0.047232576960279625,0.0741113735329791
2,vehicle_age,numeric,q0.70,32.0,0.9050914964260353,0.9925996901522535,0.09229141138277264,0.1529381308574721
2,vehicle_age,numeric,q0.80,36.0,0.8658540645455752,0.9596901295446305,0.10289407296142469,0.1750094821423045
2,vehicle_age,numeric,q0.90,41.0,0.8191906169027198,0.9339546420993118,0.13111107374330974,0.2144984674374911
2,vehicle_age,numeric,q0.95,44.0,0.7924085095996832,0.9269160412809566,0.156785937322128,0.267705894461861
2,age_driving_licence,numeric,q0.05,18.0,0.9974969498677421,1.0142033775547519,0.016609642637718573,-0.0182259157184764
2,age_driving_licence,numeric,q0.10,18.0,0.9974969498677421,1.0142033775547519,0.016609642637718573,-0.0182259157184764
2,age_driving_licence,numeric,q0.20,19.0,0.9983306029962669,0.9946804573586072,-0.0036629497863769353,-0.0121506104789841
2,age_driving_licence,numeric,q0.30,19.0,0.9983306029962669,0.9946804573586072,-0.0036629497863769353,-0.0121506104789841
2,age_driving_licence,numeric,q0.40,20.0,0.9991649528462588,0.9946804573586072,-0.00449834578620792,-0.0060753052394922
2,age_driving_licence,numeric,q0.50,21.0,1.0,1.0,0.0,0.0
2,age_driving_licence,numeric,q0.60,22.0,1.0008357450402583,1.0045421911193302,0.003696510500793033,0.006075305239492
2,age_driving_licence,numeric,q0.70,24.0,1.0025093311138342,1.0499010853186939,0.04618976727403336,0.0897793775039284
2,age_driving_licence,numeric,q0.80,26.0,1.0041857157388803,1.0451358509426683,0.039969897870309065,0.0746920667157219
